url,price,title
https://www.olx.com.pk/item/cisco-800-series-877-4-port-10-100-wired-router-cisco877-sec-k9-rf-IDTllXF.html,"Rs 2,500",Cisco 800 series 877 4 Port 10/100 Wired Router (CISCO877-SEC-K9-RF)
https://www.olx.com.pk/item/are-you-looking-web-designer-in-cheap-rates-hire-us-in-75-discount-IDWg8Wm.html,"Rs 5,000",Are You Looking Web Designer in Cheap Rates.? Hire us in 75% Discount
https://www.olx.com.pk/item/cash-drawer-8-note-and-4-coins-IDWf36b.html,"Rs 5,000",Cash drawer 8 Note and 4 coins
https://www.olx.com.pk/item/hp-core-i5-laptop-IDWg8Wy.html,"Rs 20,000",Hp Core i5 Laptop
https://www.olx.com.pk/item/unlocked-zong-4g-wingel-cloud-all-over-pakistan-free-delivery-lahore-IDWcJ1F.html,"Rs 2,380",Unlocked zong 4g wingel & cloud all over pakistan Free Delivery Lahore
https://www.olx.com.pk/item/apple-macbook-core2duo-IDWg8WU.html,"Rs 11,000",Apple MacBook core2duo
https://www.olx.com.pk/item/hp-elitebook-8440p-core-i5-laptop-IDWg8TC.html,"Rs 14,000",HP Elitebook 8440p Core I5 Laptop
https://www.olx.com.pk/item/huawei-af23-4g-3g-wifi-router-IDUEJvt.html,"Rs 2,300",Huawei AF23 4G 3G WIFI Router
https://www.olx.com.pk/item/hp-laptop-exchange-with-3-or-4-gb-ram-mobile-IDWdLZn.html,"Rs 11,500",Hp laptop exchange with 3 or 4 gb ram mobile
https://www.olx.com.pk/item/speakers-for-lap-tops-and-computers-IDJZ1qT.html,Rs 475,Speakers for lap tops and computers
https://www.olx.com.pk/item/d-link-poe-adapter-IDWg8WY.html,Rs 600,D link poe adapter
https://www.olx.com.pk/item/hp-laserjet-m1522n-4in1-copier-printer-scanner-fax-IDWdC5l.html,"Rs 9,999",Hp Laserjet M1522n 4in1 (copier+printer+scanner+Fax)
https://www.olx.com.pk/item/hp-elitebook-8470p-core-i5-3rd-generation-with-one-month-warranty-IDUyqCO.html,"Rs 20,999",Hp elitebook 8470p Core i5 3rd Generation with ONE MONTH Warranty
https://www.olx.com.pk/item/we-are-most-experienced-web-designers-pay-just-25-amount-with-quality-IDWg8X0.html,"Rs 5,000",We Are Most Experienced Web Designers pay Just 25% Amount with Quality
https://www.olx.com.pk/item/cisco-unified-cordless-ip-phone-7921g-usb-IDUOw8L.html,"Rs 16,000","Cisco Unified Cordless IP Phone 7921G,USB"
